NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type
NCT06602999,Addressing the Nutritional Needs of Cancer Survivors With Nutrition Insecurity,https://clinicaltrials.gov/study/NCT06602999,NOT_YET_RECRUITING,Hematopoietic and Lymphatic System Neoplasm|Malignant Solid Neoplasm,OTHER: Nutritional Intervention|OTHER: Instacart Voucher|BEHAVIORAL: Telephone-Based Intervention,"University of California, San Francisco",National Cancer Institute (NCI)|Stanford University,INTERVENTIONAL
NCT06602986,Measuring the Density of Iodine in Lipiodol Depositions: Detecting an Invisible Residual Tumor After Conventional Transarterial Chemoembolization for Hepatocellular Carcinoma,https://clinicaltrials.gov/study/NCT06602986,NOT_YET_RECRUITING,HCC - Hepatocellular Carcinoma,DIAGNOSTIC_TEST: TACE,Pak Emirates Military Hospital,,INTERVENTIONAL
NCT06602973,Relationships Between Exercise and Appetite in Women with Loss of Control Eating,https://clinicaltrials.gov/study/NCT06602973,RECRUITING,Eating Disorders|Binge-Eating Disorder|Bulimia Nervosa,BEHAVIORAL: Rest|BEHAVIORAL: Fed Exercise|BEHAVIORAL: Fasted Exercise,Ohio University,,INTERVENTIONAL
NCT06602960,Nextsense Brain-sensing Buds Study,https://clinicaltrials.gov/study/NCT06602960,RECRUITING,"Sleep|Sleep Quality|Sleepiness, Daytime|Technology",BEHAVIORAL: Accurate Sleep Data Feedback|BEHAVIORAL: Inflated Sleep Data Feedback|BEHAVIORAL: Deflated Sleep Data Feedback|BEHAVIORAL: Accurate Sleep Data Feedback + Sleep-related Educational Information,"NextSense, Inc.",,INTERVENTIONAL
NCT06602947,To Compare the Consumption of Sevoflurane and Desflurane in Low Flow Anaesthesia,https://clinicaltrials.gov/study/NCT06602947,COMPLETED,Sevoflurane|Desflurane,OTHER: Low flow anaesthesia using ASA enviormental sustanibility commitee recomendation,"Rajiv Gandhi Cancer Institute & Research Center, India",,OBSERVATIONAL
NCT06602934,Long-term Alterations of Host-microbiome Interactions and Cardiovascular and Respiratory Diseases Progression After Pneumonia,https://clinicaltrials.gov/study/NCT06602934,NOT_YET_RECRUITING,Hospital Acquired Pneumonia (HAP)|Cardiovascular and Respiratory Disease,"OTHER: Blood samples|OTHER: Oropharyngeal swabs|OTHER: Calcium score (CT scan)|OTHER: ECG|OTHER: Cardiopulmonary exercise test, spirometry, plethysmography, pulmonary absorption of carbon monoxide in a single inspiration, and 6-minute walk test",Nantes University Hospital,,INTERVENTIONAL
NCT06602921,"The Effects of Nitrate, Caffeine, and Cold Exposure on Cardiovascular Function.",https://clinicaltrials.gov/study/NCT06602921,ACTIVE_NOT_RECRUITING,Nitrate|Caffeine|Cold Exposure,DIETARY_SUPPLEMENT: TruBeet inorganic beetroot juice|DIETARY_SUPPLEMENT: Caffeine|OTHER: Cold pressor test,Loughborough University,Bio-Gen Extracts Pvt. Ltd.,INTERVENTIONAL
NCT06602908,Functional Status for Surgically and Non-surgically Treated Patients with Acute Achilles Tendon Rupture Following a Public Municipal Rehabilitation,https://clinicaltrials.gov/study/NCT06602908,RECRUITING,Achilles Tendon Rupture,,Københavns Kommune,University of Southern Denmark,OBSERVATIONAL
NCT06602895,Assessing Physical Performance in Male and Female National Kho-Kho Players Following Intensive Functional Training,https://clinicaltrials.gov/study/NCT06602895,COMPLETED,Physical Performance,OTHER: Intensive short-term functional strength training|OTHER: Balance Training,King Saud University,,INTERVENTIONAL
NCT06602882,Chatbot-delivered Screening and Brief Intervention for Alcohol Reduction in Working-age Adults,https://clinicaltrials.gov/study/NCT06602882,ACTIVE_NOT_RECRUITING,Excessive Alcohol Consumption,BEHAVIORAL: chatbot-delivered screening and brief intervention,The University of Hong Kong,,INTERVENTIONAL
NCT06602869,Cellular Markers in Treated or Untreated Non-tuberculous Mycobacterial Respiratory Infection in Patients With Cystic Fibrosis,https://clinicaltrials.gov/study/NCT06602869,NOT_YET_RECRUITING,Non-Tuberculous Mycobacterial Pneumonia,OTHER: Scheduled visit (V1),"University Hospital, Montpellier",Hôpital Cochin|Cystic Fibrosis Foundation,OBSERVATIONAL
NCT06602856,Point-of-care-ultrasound in Swiss Air Rescue Rega,https://clinicaltrials.gov/study/NCT06602856,NOT_YET_RECRUITING,Point-of-care-ultrasound|Emergency Treatment,OTHER: Point-of-care ultrasound examination,"Insel Gruppe AG, University Hospital Bern",,OBSERVATIONAL
NCT06602843,Neoadjuvant Chemoimmunotherapy Followed by Surgery and Postoperative Radioimmunotherapy,https://clinicaltrials.gov/study/NCT06602843,RECRUITING,Esophageal Squamous Cell Carcinoma,PROCEDURE: Neoadjuvant chemoimmunotherapy followed by surgery and postoperative radioimmunotherapy,Anhui Provincial Hospital,,INTERVENTIONAL
NCT06602830,I-gel Plus Supraglottic Airway Device for Elective Laparoscopic Surgery,https://clinicaltrials.gov/study/NCT06602830,RECRUITING,Airway Management|Supraglottic Airway|General Anesthesia|Laparoscopic Surgery,,Universitätsklinikum Hamburg-Eppendorf,,OBSERVATIONAL
NCT06602817,I-gel Plus Supraglottic Airway Device for Surgical Procedures in Prone Position,https://clinicaltrials.gov/study/NCT06602817,RECRUITING,General Anesthesia|Airway Management|Supraglottic Airway,OTHER: Exposure: prone position|OTHER: Exposure: Supine position,Universitätsklinikum Hamburg-Eppendorf,,OBSERVATIONAL
NCT06602804,Trima Non-DEHP Leukoreduced Red Blood Cell in Vivo Recovery Study,https://clinicaltrials.gov/study/NCT06602804,RECRUITING,Device Validation of In-vivo Performance,DEVICE: Trima Accel Auto RBC Collection,Terumo BCT,,INTERVENTIONAL
NCT06602791,The Effect of Watching Short Videos on Preoperative Anxiety,https://clinicaltrials.gov/study/NCT06602791,RECRUITING,Anesthesia|Anxiety,,Samsun University,,OBSERVATIONAL
NCT06602778,Exercise Level and Sleep Quality in Type 2 Diabetes,https://clinicaltrials.gov/study/NCT06602778,ENROLLING_BY_INVITATION,Type 2 Diabetes Mellitus (T2DM)|Exercise|Sleep|Biomarkers / Blood,OTHER: Biomarkers / blood|OTHER: Questionnaire,Selcuk University,,INTERVENTIONAL
NCT06602765,Comparative Analysis of Interventions for Prevention of Dental Caries in School Children,https://clinicaltrials.gov/study/NCT06602765,ENROLLING_BY_INVITATION,Prevention of Dental Caries,"OTHER: Tooth brushing, tooth paste containing 1450ppm fluoride",Bahria University,,INTERVENTIONAL
NCT06602752,Vegetables for All Project in Uganda,https://clinicaltrials.gov/study/NCT06602752,NOT_YET_RECRUITING,Vegetable Consumption,BEHAVIORAL: Food system and demand generation,RTI International,Makerere University,INTERVENTIONAL
NCT06602739,A Study to Demonstrate the Effect of REGN5713-5715 on Reducing Ocular Allergy Signs and Symptoms in Adult Participants With Birch Pollen Allergy,https://clinicaltrials.gov/study/NCT06602739,RECRUITING,Allergic Conjunctivitis,DRUG: REGN5713|DRUG: REGN5715|DRUG: Placebo,Regeneron Pharmaceuticals,,INTERVENTIONAL
NCT06602726,A Study to Demonstrate How Well REGN1908-1909 Works in Reducing Ocular Allergy Signs and Symptoms in Adult Participants With Cat Allergy,https://clinicaltrials.gov/study/NCT06602726,RECRUITING,Allergic Conjunctivitis,DRUG: REGN1908|DRUG: REGN1909|DRUG: Placebo,Regeneron Pharmaceuticals,,INTERVENTIONAL
NCT06602713,"Ability of Rotator Cuff Muscle Strength Levels, Assessed by Isokinetic Dynamometry, to Predict Return to Sport After Shoulder Stabilization Surgery by Open Latarjet Procedure",https://clinicaltrials.gov/study/NCT06602713,NOT_YET_RECRUITING,Latarjet|Shoulder Injuries|Rotator Cuff Injuries,OTHER: Questionnaires|OTHER: Exercices,Ramsay Générale de Santé,GCS Ramsay Santé pour l'Enseignement et la Recherche,INTERVENTIONAL
NCT06602700,Effects of High-intensity Interval Training and Moderate-intensity Continuous Training on Functioning of Attentional Networks and Heart Rate Variability in Healthy Adults,https://clinicaltrials.gov/study/NCT06602700,COMPLETED,Healthy Adults,BEHAVIORAL: HIIT|BEHAVIORAL: MICT,Beijing Sport University,,INTERVENTIONAL
NCT06602687,PICSI Impact on Euploidy in Assisted Reproduction,https://clinicaltrials.gov/study/NCT06602687,RECRUITING,Infertility,DEVICE: PICSI,Merrion Fertility Clinic,,INTERVENTIONAL
NCT06602674,PET/CT-Based Image Analysis and Machine Learning of Hypermetabolic Pulmonary Lesions,https://clinicaltrials.gov/study/NCT06602674,ACTIVE_NOT_RECRUITING,Lung Cancers|Pulmonary Lymphomas|Pulmonary Metastases|Benign Pulmonary Diseases,OTHER: Observe the medical images|OTHER: Feature extraction,Ruijin Hospital,"Shanghai Pulmonary Hospital, Shanghai, China|Jiangsu Province Hospital of Traditional Chinese Medicine|Ruijin North Hospital|Luan people&#39;s hospital",OBSERVATIONAL
NCT06602661,Reinforced and Non-Reinforced Staple Lines in Fissureless Lobectomy,https://clinicaltrials.gov/study/NCT06602661,NOT_YET_RECRUITING,"Lung|Lung Adenocarcinoma|Lung Adenosquamous Carcinoma|Lung Cancer, Non-Small Cell|Lung Carcinoma|Lobectomy|Lobectomy Patient|Lobectomy by Video-thoracoscopies|VATS",PROCEDURE: Fissureless Lobectomy with Reinforced Staple Lines|PROCEDURE: Fissureless Lobectomy with Non-Reinforced Staple Lines,Surrey Thoracic Surgery Group,Johnson and Johnson Medical,INTERVENTIONAL
NCT06602648,"MELCAYA - Novel Health Care Strategies for Melanoma in Children, Adolescents, and Young Adults - Work Package 3 (WP3)",https://clinicaltrials.gov/study/NCT06602648,RECRUITING,Melanoma of Skin,,University of Florence,Tubingen University Hospital|Maria Sklodowska-Curie National Research Institute of Oncology|Fondazione IRCCS ISTITUTO NAZIONALE TUMORI|Hospital Clinic of Barcelona|Istanbul University|University Of Perugia|German Cancer Research Center,OBSERVATIONAL
NCT06602635,Hybrid Score to Predict OTVA-SOO in Patients with Wide Basal QRS,https://clinicaltrials.gov/study/NCT06602635,RECRUITING,ECG|Ventricular Arrhythmias|Catheter Ablation,DIAGNOSTIC_TEST: ECG and clinical score,Centro Medico Teknon,"Hospital Universitario Puerta del Mar|Vrije Universiteit Brussel|Cisanello University Hospital (Pisa, Italy)|Maria Cecilia Hospital",OBSERVATIONAL
NCT06602622,Change in Body Weight and BMI in PWH with DOR/3TC/TDF Compared with INSTI,https://clinicaltrials.gov/study/NCT06602622,RECRUITING,"HIV|HIV Associate Weight Loss|HIV-1 Infection|Integrase Inhibitors, HIV; HIV PROTEASE INHIB|Weight Change|Weight Loss",DRUG: Integrase inhibitor|DRUG: Doravirine + tenofovir DF + lamivudine,Instituto Mexicano del Seguro Social,,INTERVENTIONAL
NCT06602609,Remote Cardiovascular Monitoring in Post-TAVI Patients,https://clinicaltrials.gov/study/NCT06602609,RECRUITING,Aortic Valve Stenosis|Cardiac Conduction Disturbance|Digital Health|Transcatheter Aortic Valve Implantation|TAVI,OTHER: Remote Patient Monitoring Strategy|OTHER: Standard Medical Therapy,Imperial College London,King Khalid University,INTERVENTIONAL
NCT06602596,Hoosier Sport: Refining and Implementing a Sustainable Campus-Community Partnership in Rural Indiana,https://clinicaltrials.gov/study/NCT06602596,RECRUITING,CVD|Cardiovascular Diseases,BEHAVIORAL: Hoosier Sport,Indiana University,,INTERVENTIONAL
NCT06602583,"To Determine the Difference in the Radiation Exposure, With Low Dose Protocols for Angiography",https://clinicaltrials.gov/study/NCT06602583,NOT_YET_RECRUITING,Coronary Arterial Disease (CAD),DIAGNOSTIC_TEST: Standard Dose Coronary angiography|DIAGNOSTIC_TEST: New low dose angiography,Dr Bharat Singh Sambyal,,OBSERVATIONAL
NCT06602570,The Mosaic Brain: a New Diagnostic Approach in Focal Epilepsies,https://clinicaltrials.gov/study/NCT06602570,NOT_YET_RECRUITING,Epilepsy Intractable|Epilepsy in Children,,Institute of Child Health,Great Ormond Street Hospital for Children NHS Foundation Trust,OBSERVATIONAL
NCT06602557,""" a Randomized Pilot Study of the Benefit of Nebulized Amikacin in the Treatment of Gram-negative Bacillus Pneumonia Acquired During Mechanical Ventilation in Patients Receiving Extracorporeal Membrane Veno-arterial Oxygenation (ECMO-VA).""",https://clinicaltrials.gov/study/NCT06602557,NOT_YET_RECRUITING,"Pneumonia, Bacterial|Extracorporeal Membrane Oxygenation",DRUG: Amikacin|DRUG: Standard of care,Assistance Publique - Hôpitaux de Paris,,INTERVENTIONAL
NCT06602544,Robotic Apparel to Prevent Freezing of Gait in Parkinson Disease,https://clinicaltrials.gov/study/NCT06602544,RECRUITING,Parkinson Disease (PD),DEVICE: Robotic Apparel,Harvard Medical School (HMS and HSDM),Michael J Fox Foundation for Parkinson Research|Boston University,INTERVENTIONAL
NCT06602531,Safety and Immunogenicity Study of Self-Amplifying RNA Pandemic Influenza Vaccine in Adults,https://clinicaltrials.gov/study/NCT06602531,NOT_YET_RECRUITING,"Influenza, Human",BIOLOGICAL: ARCT-2304|BIOLOGICAL: Control vaccine younger adults|BIOLOGICAL: Control vaccine older adults|OTHER: Placebo Vaccine,"Arcturus Therapeutics, Inc.",,INTERVENTIONAL
NCT06602518,Changes in the Sagittal Pharyngeal Airway Dimension Following Leveling and Alignement in Class II Division 2 Patients,https://clinicaltrials.gov/study/NCT06602518,RECRUITING,Class II Division 2 Malocclusion,PROCEDURE: Orthodontic Treatment,Nourhan M.Aly,,INTERVENTIONAL
NCT06602505,Comparative Analysis of Incidence of Newly Developed Postoperative Low Back Pain with Field Block Versus Without Field-block Before Spinal Anaesthesia for Patients Undergoing Caesarean Sections,https://clinicaltrials.gov/study/NCT06602505,COMPLETED,Caesarean Section,PROCEDURE: Group A: Field Block Group,Tata Main Hospital,,INTERVENTIONAL
NCT06602492,Compensatory Behavior of E-cig Users in Response to Reduced Nicotine E-liquids,https://clinicaltrials.gov/study/NCT06602492,COMPLETED,Healthy|Nicotine Addiction|Electronic Cigarette Use,DRUG: Lower nicotine e-liquid|DRUG: Higher nicotine eliquid,Rochester Institute of Technology,,INTERVENTIONAL
NCT06602479,A Study to Investigate the Safety and Efficacy of MEDI0618 Compared to Placebo in Adult Participants With Episodic Migraine,https://clinicaltrials.gov/study/NCT06602479,RECRUITING,Migraine,DRUG: MEDI0618|DRUG: Placebo,AstraZeneca,,INTERVENTIONAL
NCT06602466,A Clinical Study Investigating the Effect of an Experimental Toothpaste Containing Stannous Fluoride in Improving Gingival Health,https://clinicaltrials.gov/study/NCT06602466,RECRUITING,Dental Plaque|Gingivitis,DRUG: Test toothpaste|DRUG: Colgate Cavity Protection Toothpaste,HALEON,,INTERVENTIONAL
NCT06602453,A Study to Evaluate the Efficacy and Safety of GDC-8264 in Preventing Cardiac Surgery-Associated Acute Kidney Injury (AKI) and Major Adverse Kidney Events (MAKE),https://clinicaltrials.gov/study/NCT06602453,NOT_YET_RECRUITING,Acute Kidney Injury,DRUG: GDC-8264|DRUG: Placebo,"Genentech, Inc.",,INTERVENTIONAL
NCT06602440,Effect of Epidural Catheter Retention Depth on Labor Analgesia Performed in DPE Combined With PIEB Model,https://clinicaltrials.gov/study/NCT06602440,RECRUITING,Labor Analgesia,PROCEDURE: The indwelling length of epidural catheter is 3 centimeters.|PROCEDURE: The indwelling length of epidural catheter is 5 centimeters.|PROCEDURE: The indwelling length of epidural catheter is 7 centimeters.,General Hospital of Ningxia Medical University,,INTERVENTIONAL
NCT06602427,Shoulder Proprioception: a Comparative Study on Hand Dominance and Sex,https://clinicaltrials.gov/study/NCT06602427,COMPLETED,Position Sense|Sex Characteristics|Glenohumeral Joint|Upper Extremity,OTHER: Shoulder proprioception measurement using isokinetic dynamometer,Gazi University,Gamze ÇOBANOĞLU DEMİRKAN|Ali ZORLULAR|Ahmet GÖKKURT|Nihan KAFA|Nevin ATALAY GÜZEL|Deran OSKAY,OBSERVATIONAL
NCT06602414,Evaluation of Clinical Results of Patients Treated Conservatively for Distal Biceps Tendon Lesions,https://clinicaltrials.gov/study/NCT06602414,NOT_YET_RECRUITING,Tendon Rupture,PROCEDURE: Conservative treatment,Istituto Ortopedico Rizzoli,,OBSERVATIONAL
NCT06602401,Investigation of Functional Parameters,https://clinicaltrials.gov/study/NCT06602401,COMPLETED,Grip|Pinch|Strength|Wrist|Dexterity,,Gazi University,Ali ZORLULAR|Tuğçe ÇOBAN|Ahmet GÖKKURT|Zeynep EMİR|Nevin ATALAY GÜZEL|Deran OSKAY,OBSERVATIONAL
NCT06602388,Human Internal BIOASTER's Samples Collection,https://clinicaltrials.gov/study/NCT06602388,NOT_YET_RECRUITING,Biological Samples,OTHER: Biological sampling,Bioaster,,OBSERVATIONAL
NCT06602375,The Effect of Manual Physical Therapy and Exercise in Addition to Routine Dental Care in Individuals with Temporomandibular Disorders,https://clinicaltrials.gov/study/NCT06602375,NOT_YET_RECRUITING,Temporomandibular Disorders (TMD),OTHER: Standard care|OTHER: Physical Therapy (PT),Brooke Army Medical Center,,INTERVENTIONAL
NCT06602362,Uncovering the Acute Neurobiological Significance of Emerging Sexual Behaviors,https://clinicaltrials.gov/study/NCT06602362,RECRUITING,"Sexual Behavior|Hypoxia, Brain",OTHER: Partnered sex involving choking|OTHER: Partnered sex not involving choking,Indiana University,,INTERVENTIONAL
NCT06602349,EFFICACY of USUAL MANAGEMENT of CHRONIC IDIOPATHIC ANO-PERINEAL PAIN by USING LOCAL ANESTHETIC INFILTRATION,https://clinicaltrials.gov/study/NCT06602349,RECRUITING,Chronic Idiopathic Anopérineal Pain,DRUG: Lidocaine 10 MG/ML|DRUG: Saline,Groupe Hospitalier Diaconesses Croix Saint-Simon,,INTERVENTIONAL
NCT06602336,A Single Centre Study Comparing Continuous Interstitial Fluid Lactate Detection to Standard Measurements of Lactate in Patients Undergoing Elective Coronary Artery Bypass Graft Surgery and/or Valve Replacement.,https://clinicaltrials.gov/study/NCT06602336,NOT_YET_RECRUITING,Coronary Artery Bypass|Coronary Artery Bypass Graft|Coronary Artery Bypass Graft Surgery (CABG)|Valve Replacement|Valve Surgery|Cardiovascular|CABG,DEVICE: Continuous Lactate Monitoring Device,Queen Mary University of London,,INTERVENTIONAL
NCT06602323,TMLI/Fludarabine/Melphalan Conditioning for Allogeneic Transplantation in High-risk Myelodysplastic Syndrome or Acute Myeloid Leukemia.,https://clinicaltrials.gov/study/NCT06602323,NOT_YET_RECRUITING,Myelodysplastic Syndromes|Acute Myeloid Leukemia,COMBINATION_PRODUCT: TMLI/Flu/Mel,Fundación Pública Andaluza para la gestión de la Investigación en Sevilla,,INTERVENTIONAL
NCT06602310,"Utility of Preanestes@s2.0, a Web Based Application for Preoperative Assessment.",https://clinicaltrials.gov/study/NCT06602310,NOT_YET_RECRUITING,"Mobile Application|Preoperative Period|Internet-based Intervention|Surgical Procedures, Elective|Assessment Evaluation",OTHER: Web based preoperative assessment,Fundación Pública Andaluza para la gestión de la Investigación en Sevilla,,INTERVENTIONAL
NCT06602297,Propofol-related Euphoria in Pain-free Gastrointestinal Endoscopy Patients,https://clinicaltrials.gov/study/NCT06602297,RECRUITING,Propofol|Addictive Behaviors,,Northern Jiangsu People's Hospital,,OBSERVATIONAL
NCT06602284,A Full Face Study to Evaluate the Efficacy of Dermapen 4™ Microneedling Device in Addition with MG-CLR Serum for Acne Treatment Over 12 Weeks.,https://clinicaltrials.gov/study/NCT06602284,NOT_YET_RECRUITING,Acne,COMBINATION_PRODUCT: Dermapen 4™,Equipmed USA LLC,,INTERVENTIONAL
NCT06602271,PF614 Analgesic Activity in Acute Postoperative Pain (PF614-301),https://clinicaltrials.gov/study/NCT06602271,NOT_YET_RECRUITING,"Postoperative Pain|Postoperative Pain, Acute",DRUG: PF614 capsule|DRUG: Placebo|DRUG: Oxycodone HCl 10 mg,Ensysce Biosciences,,INTERVENTIONAL
NCT06602258,A Study of E2814 With Concurrent Lecanemab Treatment in Participants With Early Alzheimer's Disease,https://clinicaltrials.gov/study/NCT06602258,RECRUITING,Alzheimer's Disease,DRUG: E2814|DRUG: Lecanemab|DRUG: Placebo,Eisai Inc.,,INTERVENTIONAL
NCT06602245,Clearance of Antibacterial Agents During Hemoperfusion in Patients With Sepsis,https://clinicaltrials.gov/study/NCT06602245,NOT_YET_RECRUITING,Sepsis|Septic Shock,,Efferon JSC,,OBSERVATIONAL
NCT06602232,A Study of DR-01 in Subjects With Alopecia Areata and Vitiligo,https://clinicaltrials.gov/study/NCT06602232,RECRUITING,Alopecia Areata|Vitiligo,DRUG: DR-01,Dren Bio,,INTERVENTIONAL
NCT06602219,A Study of LY4100511 (Dice 853) in Adult Participants With Moderate-to-Severe Plaque Psoriasis,https://clinicaltrials.gov/study/NCT06602219,NOT_YET_RECRUITING,Plaque Psoriasis,DRUG: LY4100511|DRUG: Placebo,"DICE Therapeutics, Inc., a wholly owned subsidiary of Eli Lilly and Company",,INTERVENTIONAL
NCT06602206,Shoulder and Neck Mobilization in Patients With Subacromial Impingement Syndrome,https://clinicaltrials.gov/study/NCT06602206,RECRUITING,Subacromial Impingement Syndrome,OTHER: Conventional Treatment|OTHER: shoulder mobilization|OTHER: neck mobilization,Kutahya Health Sciences University,,INTERVENTIONAL
NCT06602193,Safety and Pharmacodynamic Effects of BIIB122 in Participants With LRRK2-Associated Parkinson's Disease (LRRK2-PD),https://clinicaltrials.gov/study/NCT06602193,RECRUITING,Parkinson Disease,DRUG: BIIB122 225 mg|OTHER: BIIB122-Matching Placebo,Denali Therapeutics Inc.,Biogen,INTERVENTIONAL
NCT06602180,Scapular PNF and Activity Oriented Antiedema Proprioceptive Therapy on Shoulder Dysfunction Post Matectomy Lymphedema,https://clinicaltrials.gov/study/NCT06602180,RECRUITING,Upper Limb Edema,"OTHER: Scapular PNF technique, (TAPA) technique for the affected shoulder region plus conventional physiotherapy program in a form of (Complex decongestive therapy (CDT).|OTHER: Scapular PNF technique for the affected shoulder region plus conventional physiotherapy program in a form of (Complex decongestive therapy (CDT))|OTHER: Activity-Oriented Antiedema Proprioceptive Therapy (TAPA) technique for the affected shoulder region plus conventional physiotherapy program in a form of (Complex decongestive therapy (CDT)",Cairo University,,INTERVENTIONAL
NCT06602167,Electroacupuncture Combined With Self-administered Acupressure for the Prevention of Capecitabine-Associated Hand-Foot Syndrome,https://clinicaltrials.gov/study/NCT06602167,NOT_YET_RECRUITING,Capecitabine|Hand-foot Syndrome|Electroacupuncture|Self-administered Acupressure|Breast Cancer|Gastrointestinal Cancers,COMBINATION_PRODUCT: True electroacupuncture + True self-administered acupressure|DRUG: Doctor-prescribed treatment|COMBINATION_PRODUCT: Sham electroacupuncture + Sham self-administered acupressure,Affiliated Hospital of Qinghai University,,INTERVENTIONAL
NCT06602154,"Comparison of Bond Failure with Resin-modified Glass Ionomer Cement and Visible Light-cure Composite Bonding Material in Adult Orthodontic Patients - a Split-Mouth, Randomized Controlled Trial",https://clinicaltrials.gov/study/NCT06602154,COMPLETED,Orthodontics|Bracket Bonding|Malocclusion; Displaced or Missing Teeth,OTHER: Resin modified glass ionomer,"Aga Khan University Hospital, Pakistan",,INTERVENTIONAL
NCT06602141,"Assessments of Adipogenesis, Lipid Turnover and Cellular Composition in Adipose Tissue in Response to Endurance Exercise",https://clinicaltrials.gov/study/NCT06602141,RECRUITING,Obesity,PROCEDURE: Muscle Biopsy|PROCEDURE: Adipose Biopsy|OTHER: Glucose Clamp|OTHER: Accelerometer|OTHER: Endurance Exercise|OTHER: Physical activity/ dietary habits|OTHER: Heavy Water Labeling Period,AdventHealth Translational Research Institute,Pennington Biomedical Research Center,INTERVENTIONAL
NCT06602128,"The Effect of Breathing Exercise on Anxiety, Pain and Life Findings in Patients Undergoing Coronary Angiography",https://clinicaltrials.gov/study/NCT06602128,RECRUITING,Breathing Exercises|Coronary Angiography,BEHAVIORAL: Experimental: Breathing Exercise Application Group,Kahramanmaraş İstiklal University,,INTERVENTIONAL
NCT06602115,Noncontrast CT-Based Deep Learning for Predicting Hematoma Expansion Risk in Patients with Spontaneous Intracerebral Hemorrhage,https://clinicaltrials.gov/study/NCT06602115,NOT_YET_RECRUITING,Spontaneous Intracerebral Hemorrhage|Hematoma Expansion,"OTHER: Observational study, no interventions involved",Qiang Yu,"Xiangya Hospital of Central South University|The First Affiliated Hospital with Nanjing Medical University|Southwest Hospital, China|Liuzhou Workers Hospital",OBSERVATIONAL
NCT06602102,Pilot Study on Improving Mobility and Universal Accessibility for Individuals With Visual Disabilities in Barcelona,https://clinicaltrials.gov/study/NCT06602102,COMPLETED,Low Vision Aids|Low Vision|Low Vision Blindness|Low Vision Digital Assistance,DEVICE: Mixed reality Glasses,Universitat Politècnica de Catalunya,,OBSERVATIONAL
NCT06602089,Superiority of Finger-sensor Monitoring: a Prospective Observational Study,https://clinicaltrials.gov/study/NCT06602089,RECRUITING,Blood Pressure,DEVICE: Arterial pressure monitoring,University of Hamburg-Eppendorf,,OBSERVATIONAL
NCT06602076,Developing an SGM Smoking Cessation Intervention With Community Partners,https://clinicaltrials.gov/study/NCT06602076,NOT_YET_RECRUITING,Smoking Cessation,BEHAVIORAL: ECHO (Empowering Our Community & Health Outcomes),University of Oklahoma,,INTERVENTIONAL
NCT06602063,Surgery for Ovarian Cancer After PARPi Therapy in Precision,https://clinicaltrials.gov/study/NCT06602063,NOT_YET_RECRUITING,Epithelial Ovarian Cancer|Fallopian Tube Cancer|Primary Peritoneal Carcinoma,PROCEDURE: surgery/chemotherapy|DRUG: Sintilimab,Shanghai Gynecologic Oncology Group,Shanghai Zhongshan Hospital|Tongji Hospital,INTERVENTIONAL
NCT06602050,"Maximum Inspiratory Pressure, Grip Strength and Physical Functional Status Relationship in MV Patients",https://clinicaltrials.gov/study/NCT06602050,RECRUITING,Mechanical Ventilation Complication|Intensive Care Medicine,OTHER: HG and NIF,Saglik Bilimleri Universitesi,SB Goztepe Prof Suleyman Yalcin City Hospital,OBSERVATIONAL
NCT06602037,ImmunoPET Imaging of Pancreatic Cancer,https://clinicaltrials.gov/study/NCT06602037,RECRUITING,Neoplasms Pancreatic,DIAGNOSTIC_TEST: [89Zr]Zr-DFO-SHR1920|DIAGNOSTIC_TEST: [18F]F-RESCA-3A12|DIAGNOSTIC_TEST: [68Ga]Ga-NOTA-3A12,RenJi Hospital,,INTERVENTIONAL
NCT06602024,A Study of mRNA-1010 Compared With a Licensed Influenza Vaccine in Adults ≥50 Years of Age,https://clinicaltrials.gov/study/NCT06602024,RECRUITING,Seasonal Influenza,BIOLOGICAL: mRNA-1010|BIOLOGICAL: Fluarix®|BIOLOGICAL: Influsplit®,"ModernaTX, Inc.",,INTERVENTIONAL
NCT06602011,Triple Therapy for Intermediate-advanced HCC With BDTT (TALENP002),https://clinicaltrials.gov/study/NCT06602011,RECRUITING,Hepatocellular Carcinoma,"COMBINATION_PRODUCT: TACE, Lenvatinib, combined with Tislelizumab group",Fujian Provincial Hospital,,OBSERVATIONAL
NCT06601998,Cardiovascular Disease Progression in Survivors of Community Acquired Pneumonia and Lung Infection by Covid-19.,https://clinicaltrials.gov/study/NCT06601998,RECRUITING,"Pneumonia, Community-Acquired|COVID-19 Pneumonia|Cardiovascular Diseases","OTHER: Blood samples and Oropharyngeal swab|OTHER: Six-minute walk test, Spirometry, ECG, Heart ultrasound and cardiopulmonary exercise stress testing, Completion of questionnaires of symptoms",Hellenic Institute for the Study of Sepsis,,OBSERVATIONAL
NCT06601985,Exploring the Effect of Colonic J-pouch in Anorectal Preservation Surgery for Ultra-low Rectal Cancer.,https://clinicaltrials.gov/study/NCT06601985,ACTIVE_NOT_RECRUITING,"Rectum Cancer|Faecal Incontinence|Faecal Incontinence with Faecal Urgency|Low Anterior Resection Syndrome|Leakage, Anastomotic",PROCEDURE: J-pouch anastomosis|PROCEDURE: direct anastomosis,Shanghai 10th People's Hospital,,OBSERVATIONAL
